Opportunity_ID,Opportunity_Fiscal_Period_ID,Opportunity_Open_Date_DT,Opportunity_Last_Updated_Date_DT,Opportunity_Close_Date_DT,Opportunity_Business_ID,Opportunity_Business_Name,Opportunity_Business_Line_ID,Opportunity_Business_Line_Group_ID,Opportunity_Offering_Amount,Opportunity_Estimated_Revenue,Opportunity_Estimated_Net_Sales_Revenue,Opportunity_Lead_Pursuit_Partner,Opportunity_Lead,Opportunity_Team,Opportunity_Probability_Win,Opportunity_Top_Priority,Opportunity_Stage_ID,Opportunity_Stage_Description,Year,Acitve / Inacitve 
OPP20150000,FP2015,2015-04-07 08:43,2015-11-04 17:23,2015-12-21 05:46,SeVe0069,SecureVentures,Venture Capital,Investment,206058.68,157471.82,8458.66,EMP036,"[""'EMP036'"", ""'EMP009'"", ""'EMP025'"", ""'EMP098'""]","['EMP080', 'EMP098', 'EMP085', 'EMP034', 'EMP040', 'EMP009', 'EMP025', 'EMP036']",0.5191,0,4,Closed-Won,2015,Inactive
OPP20150001,FP2015,2015-12-16 12:39,2015-12-23 12:34,,BiBi0091,BioVentures,Biotechnology,Healthcare,194352.76,139363.02,25428.4,EMP085,"[""'EMP085'"", ""'EMP050'"", ""'EMP128'"", ""'EMP110'"", ""'EMP114'""]","['EMP114', 'EMP050', 'EMP085', 'EMP025', 'EMP128', 'EMP078', 'EMP086', 'EMP110', 'EMP099']",0.4862,0,1,Qualifying,2015,Active
OPP20150002,FP2015,2015-05-21 09:55,2015-10-12 13:28,,SmEq0021,SmartSolutions,Equity,Finance,157650.04,126813.57,17169.67,EMP036,"[""'EMP036'"", ""'EMP050'"", ""'EMP025'"", ""'EMP092'"", ""'EMP117'""]","['EMP050', 'EMP036', 'EMP023', 'EMP117', 'EMP055', 'EMP025', 'EMP086', 'EMP019', 'EMP092']",0.3328,0,1,Qualifying,2015,Active
OPP20150003,FP2015,2015-12-23 08:51,2015-12-26 21:11,,TeAn0059,TechAnalytics,Analytics,Technology,220686.08,173536.94,16282.38,EMP085,"[""'EMP085'"", ""'EMP110'"", ""'EMP050'"", ""'EMP042'"", ""'EMP031'""]","['EMP072', 'EMP050', 'EMP035', 'EMP031', 'EMP100', 'EMP085', 'EMP032', 'EMP094', 'EMP042', 'EMP110']",0.3447,0,1,Qualifying,2015,Active
OPP20150004,FP2015,2015-06-27 12:49,2015-12-26 02:43,2016-01-02 12:22,SmCr0054,SmartServices,Credit,Finance,215259.62,179586.09,23764.08,EMP036,"[""'EMP036'"", ""'EMP017'"", ""'EMP114'"", ""'EMP111'"", ""'EMP031'""]","['EMP055', 'EMP114', 'EMP024', 'EMP111', 'EMP009', 'EMP019', 'EMP031', 'EMP036', 'EMP042', 'EMP017']",0.7383,0,4,Closed - Won ,2015,Active
OPP20150005,FP2015,2015-07-15 04:15,2015-08-18 06:51,,GlLo0095,GlobalServices,Loans,Finance,183778.71,131076.47,18641.1,EMP023,"[""'EMP023'"", ""'EMP061'"", ""'EMP119'"", ""'EMP042'"", ""'EMP050'""]","['EMP042', 'EMP002', 'EMP091', 'EMP050', 'EMP061', 'EMP119', 'EMP009', 'EMP036', 'EMP023']",0.9213,0,1,Qualifying,2015,Active
OPP20150006,FP2015,2015-06-13 15:02,2015-06-28 20:12,,SmVe0088,SmartVentures,Venture Capital,Investment,194533.86,150694.33,11319.46,EMP085,"[""'EMP085'"", ""'EMP002'"", ""'EMP059'"", ""'EMP104'"", ""'EMP116'""]","['EMP104', 'EMP085', 'EMP003', 'EMP091', 'EMP052', 'EMP116', 'EMP076', 'EMP059', 'EMP002', 'EMP093']",0.472,0,2,Proposal,2015,Active
OPP20150007,FP2015,2015-10-14 06:55,2015-12-22 18:58,,CrTr0075,CreativeSystems,Treasury,Finance,222556.52,184044.73,33140.42,EMP083,"[""'EMP083'"", ""'EMP001'"", ""'EMP119'"", ""'EMP059'"", ""'EMP061'""]","['EMP091', 'EMP075', 'EMP007', 'EMP119', 'EMP059', 'EMP061', 'EMP083', 'EMP095', 'EMP001', 'EMP079']",0.9337,0,2,Proposal,2015,Active
OPP20150008,FP2015,2015-05-31 08:02,2015-10-27 22:00,,DaVe0067,DataVentures,Venture Capital,Investment,207689.35,162206.86,28673.81,EMP085,"[""'EMP085'"", ""'EMP031'"", ""'EMP114'"", ""'EMP025'"", ""'EMP108'""]","['EMP090', 'EMP085', 'EMP035', 'EMP108', 'EMP023', 'EMP018', 'EMP114', 'EMP025', 'EMP031']",0.2949,0,3,Negotiation,2015,Active
OPP20150009,FP2015,2015-02-27 11:42,2015-07-09 17:45,,GeAn0097,GeoAnalytics,Analytics,Technology,221974.8,193396.7,10083.26,EMP085,"[""'EMP085'"", ""'EMP117'"", ""'EMP108'"", ""'EMP025'"", ""'EMP059'""]","['EMP085', 'EMP059', 'EMP117', 'EMP075', 'EMP082', 'EMP108', 'EMP032', 'EMP100', 'EMP025', 'EMP031']",0.8396,0,3,Negotiation,2015,Active
OPP20150010,FP2015,2015-01-29 14:31,2015-11-21 04:57,,SeAs0020,SecureServices,Asset Management,Investment,190659.2,149945.13,20679.86,EMP083,"[""'EMP083'"", ""'EMP002'"", ""'EMP036'""]","['EMP047', 'EMP002', 'EMP036', 'EMP079', 'EMP083', 'EMP084']",0.7646,0,1,Qualifying,2015,Active
OPP20150011,FP2015,2015-04-07 09:47,2015-11-08 17:37,,GeLo0083,GeoHoldings,Loans,Finance,212464.58,164239.36,29998.99,EMP085,"[""'EMP085'"", ""'EMP050'"", ""'EMP017'"", ""'EMP119'"", ""'EMP132'""]","['EMP081', 'EMP132', 'EMP050', 'EMP097', 'EMP017', 'EMP085', 'EMP119', 'EMP036', 'EMP052', 'EMP077']",0.3313,0,3,Negotiation,2015,Active
OPP20150012,FP2015,2015-06-27 04:06,2015-10-14 09:10,,NeWe0099,NetDynamics,Wealth Management,Investment,155231.07,126037.77,21870.17,EMP023,"[""'EMP023'"", ""'EMP119'"", ""'EMP108'"", ""'EMP019'"", ""'EMP114'""]","['EMP065', 'EMP032', 'EMP099', 'EMP114', 'EMP029', 'EMP119', 'EMP019', 'EMP023', 'EMP052', 'EMP108']",0.6009,0,2,Proposal,2015,Active
OPP20150013,FP2015,2015-03-22 14:00,2015-11-17 17:16,,InMo0077,InfoServices,Mortgages,Banking,199132.8,143506.97,16546.79,EMP083,"[""'EMP083'"", ""'EMP085'"", ""'EMP059'""]","['EMP018', 'EMP086', 'EMP021', 'EMP083', 'EMP085', 'EMP059', 'EMP034']",0.6826,0,3,Negotiation,2015,Active
OPP20150014,FP2015,2015-05-04 11:43,2015-11-19 23:07,,InVe0080,InnovativeVentures,Venture Capital,Investment,105150.18,84854.44,16180.02,EMP083,"[""'EMP083'"", ""'EMP050'"", ""'EMP017'"", ""'EMP042'"", ""'EMP010'""]","['EMP073', 'EMP042', 'EMP117', 'EMP050', 'EMP094', 'EMP013', 'EMP083', 'EMP009', 'EMP017', 'EMP010']",0.5073,0,3,Negotiation,2015,Active
OPP20150015,FP2015,2015-10-14 22:52,2015-11-21 21:52,2015-12-15 02:02,WeTr0044,WebConcepts,Treasury,Finance,198848.27,157910.22,23021.95,EMP036,"[""'EMP036'"", ""'EMP069'"", ""'EMP054'""]","['EMP088', 'EMP050', 'EMP036', 'EMP029', 'EMP083', 'EMP033', 'EMP054', 'EMP069']",0.8833,0,4,Closed - Won ,2015,Active
OPP20150016,FP2015,2015-05-11 19:27,2015-06-27 04:55,,SmEq0092,SmartSolutions,Equity,Finance,192871.24,143550.07,27990.29,EMP036,"[""'EMP036'"", ""'EMP108'"", ""'EMP059'"", ""'EMP002'"", ""'EMP017'""]","['EMP050', 'EMP091', 'EMP002', 'EMP036', 'EMP017', 'EMP108', 'EMP018', 'EMP059', 'EMP025', 'EMP010']",0.8565,1,3,Negotiation,2015,Active
OPP20150017,FP2015,2015-06-22 07:28,2015-09-05 03:25,,SeLo0006,SecureSolutions,Loans,Finance,210344.16,163953.04,10773.42,EMP083,"[""'EMP083'"", ""'EMP072'"", ""'EMP119'"", ""'EMP108'"", ""'EMP025'""]","['EMP062', 'EMP072', 'EMP025', 'EMP058', 'EMP035', 'EMP108', 'EMP080', 'EMP033', 'EMP083', 'EMP119']",0.8622,0,3,Negotiation,2015,Active
OPP20150018,FP2015,2015-04-30 00:26,2015-05-31 10:02,2015-11-21 03:48,NeAs0084,NetSolutions,Asset Management,Investment,190055.43,140282.45,23198.98,EMP083,"[""'EMP083'"", ""'EMP001'"", ""'EMP042'"", ""'EMP050'"", ""'EMP025'""]","['EMP001', 'EMP042', 'EMP002', 'EMP025', 'EMP100', 'EMP050', 'EMP023', 'EMP018', 'EMP083', 'EMP086']",0.6798,0,4,Closed-Lost,2015,Inactive
OPP20150019,FP2015,2015-06-26 22:40,2015-12-20 12:41,,GeCo0025,GeoTechnology,Compliance,Legal,191701.25,138293.44,23259.21,EMP085,"[""'EMP085'"", ""'EMP059'"", ""'EMP072'"", ""'EMP002'"", ""'EMP116'""]","['EMP093', 'EMP116', 'EMP072', 'EMP002', 'EMP059', 'EMP083', 'EMP085', 'EMP078', 'EMP086']",0.6487,0,2,Proposal,2015,Active
OPP20150020,FP2015,2015-08-24 02:04,2015-12-06 09:27,,InVe0085,InnovativeVentures,Venture Capital,Investment,210292.04,148008.71,23204.89,EMP023,"[""'EMP023'"", ""'EMP002'"", ""'EMP114'"", ""'EMP010'"", ""'EMP068'""]","['EMP098', 'EMP114', 'EMP050', 'EMP023', 'EMP068', 'EMP002', 'EMP039', 'EMP001', 'EMP072', 'EMP010']",0.7256,0,2,Proposal,2015,Active
OPP20150021,FP2015,2015-02-07 03:25,2015-11-30 09:22,,GlCr0057,GlobalSystems,Credit,Finance,218651.66,181008.02,9630.31,EMP036,"[""'EMP036'"", ""'EMP061'"", ""'EMP117'"", ""'EMP002'"", ""'EMP031'""]","['EMP036', 'EMP002', 'EMP038', 'EMP065', 'EMP031', 'EMP100', 'EMP117', 'EMP090', 'EMP061', 'EMP050']",0.474,0,1,Qualifying,2015,Active
OPP20150022,FP2015,2015-07-17 22:31,2015-07-20 16:33,,TeAn0072,TechAnalytics,Analytics,Technology,216971.68,156644.2,11412.26,EMP069,"[""'EMP069'"", ""'EMP119'"", ""'EMP116'"", ""'EMP085'""]","['EMP092', 'EMP085', 'EMP065', 'EMP025', 'EMP116', 'EMP069', 'EMP054', 'EMP119']",0.917,0,1,Qualifying,2015,Active
