Opportunity_Business_ID,Opportunity_Business_Name,Opportunity_Business_Line_ID,Opportunity_Business_Line_Group_ID,Province
InVe0001,InfoSolutions,Venture Capital,Investment,Ontario
GlAn0002,GlobalAnalytics,Analytics,Technology,Ontario
CrAn0003,CreativeAnalytics,Analytics,Technology,Ontario
SeVe0004,SecureVentures,Venture Capital,Investment,Ontario
BiBi0005,BioVentures,Biotechnology,Healthcare,Ontario
SeLo0006,SecureSolutions,Loans,Finance,Ontario
WeTr0007,WebConcepts,Treasury,Finance,Ontario
SeCo0008,SecureTechnology,Compliance,Legal,Ontario
TeVe0009,TechVentures,Venture Capital,Investment,Ontario
DaVe0010,DataVentures,Venture Capital,Investment,Ontario
GeCr0011,GeoSolutions,Credit,Finance,Ontario
SeCo0012,SecureTechnology,Compliance,Legal,Ontario
SmTr0013,SmartDynamics,Treasury,Finance,Ontario
InIn0014,InnovativeSystems,Insurance,Risk Management,Ontario
NeAn0015,NetAnalytics,Analytics,Technology,Ontario
SmAn0016,SmartAnalytics,Analytics,Technology,Ontario
DaCo0017,DataServices,Compliance,Legal,Ontario
TeMo0018,TechConcepts,Mortgages,Banking,Ontario
SeLo0019,SecureSolutions,Loans,Finance,Ontario
SeAs0020,SecureServices,Asset Management,Investment,Ontario
SmEq0021,SmartSolutions,Equity,Finance,Ontario
WeTr0022,WebConcepts,Treasury,Finance,Ontario
SmAn0023,SmartAnalytics,Analytics,Technology,Ontario
SmAs0024,SmartConcepts,Asset Management,Investment,Ontario
GeCo0025,GeoTechnology,Compliance,Legal,Ontario
BiBi0026,BioHoldings,Biotechnology,Healthcare,Ontario
SeIn0027,SecureConcepts,Insurance,Risk Management,Ontario
SmTr0028,SmartDynamics,Treasury,Finance,Ontario
InVe0029,InnovativeVentures,Venture Capital,Investment,Ontario
InCr0030,InfoTechnology,Credit,Finance,Ontario
InCo0031,InnovativeConcepts,Compliance,Legal,Ontario
InM0032,InfoHoldings,Mortgages,Banking,Ontario
WeWe0033,WebServices,Wealth Management,Investment,Ontario
DaAn0034,DataAnalytics,Analytics,Technology,Ontario
SmC0035,SmartSystems,Credit,Finance,Ontario
DaCo0036,DataDynamics,Compliance,Legal,Ontario
CrAn0037,CreativeAnalytics,Analytics,Technology,Ontario
TeVe0038,TechVentures,Venture Capital,Investment,Ontario
InIn0039,InnovativeServices,Insurance,Risk Management,Ontario
InCo0040,InnovativeConcepts,Compliance,Legal,Ontario
WeDe0041,WebTechnology,Deposits,Banking,Ontario
SeTr0042,SecureHoldings,Treasury,Finance,Ontario
NeAs0043,NetSolutions,Asset Management,Investment,Ontario
WeTr0044,WebConcepts,Treasury,Finance,Ontario
NeEq0045,NetConcepts,Equity,Finance,Ontario
GlMo0046,GlobalSolutions,Mortgages,Banking,Ontario
BiBi0047,BioTechnology,Biotechnology,Healthcare,Ontario
InCr0048,InfoTechnology,Credit,Finance,Ontario
GeEq0049,GeoDynamics,Equity,Finance,Ontario
GlCr0050,GlobalConcepts,Credit,Finance,Ontario
BiAn0051,BioAnalytics,Analytics,Technology,Ontario
CrCo0052,CreativeDynamics,Compliance,Legal,Ontario
GlCr0053,GlobalConcepts,Credit,Finance,Ontario
SmCr0054,SmartServices,Credit,Finance,Ontario
TeAn0055,TechAnalytics,Analytics,Technology,Quebec
GlAn0056,GlobalAnalytics,Analytics,Technology,Ontario
GlCr0057,GlobalSystems,Credit,Finance,Quebec
DaAn0058,DataAnalytics,Analytics,Technology,Ontario
TeAn0059,TechAnalytics,Analytics,Technology,Quebec
CrTr0060,CreativeTechnology,Treasury,Finance,Quebec
GeTr0061,GeoServices,Treasury,Finance,Quebec
GlMo0062,GlobalSolutions,Mortgages,Banking,Ontario
TeDe0063,TechHoldings,Deposits,Banking,Quebec
InDe0064,InnovativeHoldings,Deposits,Banking,Quebec
SmCr0065,SmartServices,Credit,Finance,Ontario
InCr0066,InfoSolutions,Credit,Finance,Ontario
DaVe0067,DataVentures,Venture Capital,Investment,Ontario
InAn0068,InfoAnalytics,Analytics,Technology,Quebec
SeVe0069,SecureVentures,Venture Capital,Investment,Ontario
CrCo0070,CreativeDynamics,Compliance,Legal,Ontario
NeAs0071,NetSolutions,Asset Management,Investment,Ontario
TeAn0072,TechAnalytics,Analytics,Technology,Quebec
WeTr0073,WebSolutions,Treasury,Finance,Quebec
CrTr0074,CreativeSystems,Treasury,Finance,Quebec
